idno,cntry,ppltrst,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun
133026,DK,7,4,8,Complete trust,4,5,9,9
133068,DK,5,5,8,8,5,5,5,7
133120,DK,8,9,9,8,7,7,8,Complete trust
133270,DK,8,8,8,8,7,7,7,6
133280,DK,7,7,8,7,5,6,4,5
133286,DK,8,8,8,8,7,7,6,8
133303,DK,4,7,7,7,5,6,3,4
133322,DK,7,Don't know,9,9,7,8,8,7
133413,DK,5,7,8,8,7,6,6,6
133427,DK,Most people can be trusted,7,9,8,7,6,6,5
133428,DK,Most people can be trusted,7,Complete trust,8,6,6,6,9
133529,DK,Most people can be trusted,7,Complete trust,8,5,5,7,7
133546,DK,7,8,Complete trust,Complete trust,5,6,3,6
133589,DK,4,2,4,2,2,2,3,4
133621,DK,7,5,7,9,4,4,Don't know,7
133640,DK,4,3,5,5,2,2,2,6
133669,DK,7,7,9,9,6,6,4,8
133675,DK,8,8,9,8,5,4,Don't know,7
133683,DK,7,9,8,Complete trust,8,7,8,6
133699,DK,8,7,8,9,5,3,5,5
133835,DK,8,7,8,Complete trust,7,7,2,2
133842,DK,7,5,8,9,4,4,5,6
133917,DK,7,3,8,8,4,4,2,5
133970,DK,6,8,Complete trust,Complete trust,8,7,7,6
133972,DK,7,7,8,9,5,5,7,8
134109,DK,9,7,8,9,6,7,6,7
134129,DK,8,5,6,7,5,5,1,1
134144,DK,5,7,7,8,7,7,Don't know,6
134222,DK,3,4,6,7,5,4,4,6
134236,DK,Most people can be trusted,5,9,9,4,4,5,6
134311,DK,7,9,Complete trust,Complete trust,8,7,7,7
134319,DK,9,7,Complete trust,Complete trust,7,5,4,3
134333,DK,9,8,8,9,7,7,8,9
134358,DK,8,5,5,8,4,4,3,4
134376,DK,Most people can be trusted,6,8,9,7,6,5,Don't know
134382,DK,5,6,8,8,5,5,5,5
134584,DK,6,8,8,9,8,7,7,8
134743,DK,6,8,9,7,6,6,6,7
134747,DK,7,5,6,6,6,6,No trust at all,7
134774,DK,5,Complete trust,7,Complete trust,7,7,2,3
134868,DK,8,7,8,9,7,7,6,8
134875,DK,8,6,8,6,7,6,8,7
134893,DK,9,2,6,No trust at all,3,2,5,3
134941,DK,6,6,7,8,5,5,4,6
134970,DK,8,6,7,7,5,5,5,6
135018,DK,6,6,3,6,No trust at all,No trust at all,No trust at all,No trust at all
135022,DK,6,5,7,8,5,5,4,7
135153,DK,Most people can be trusted,8,9,Complete trust,7,7,6,7
135200,DK,8,9,Complete trust,Complete trust,8,8,7,7
135221,DK,9,7,8,8,8,8,6,7
135225,DK,6,5,5,5,4,4,4,6
135226,DK,4,2,5,5,2,1,2,5
135291,DK,9,7,8,8,6,6,6,7
135394,DK,9,2,9,9,4,4,5,5
135405,DK,5,8,3,8,7,6,8,8
135466,DK,8,8,9,Complete trust,5,5,4,5
135470,DK,9,8,8,9,7,7,5,7
135553,DK,6,7,8,8,7,7,5,8
135568,DK,8,8,9,9,7,6,9,9
135589,DK,9,7,Complete trust,Complete trust,7,7,Don't know,7
135596,DK,7,3,7,8,1,1,6,6
135687,DK,7,8,Complete trust,Complete trust,7,7,7,7
135762,DK,4,2,4,8,1,No trust at all,2,4
135810,DK,Most people can be trusted,7,9,8,5,7,6,8
135858,DK,5,4,6,7,3,5,7,7
135877,DK,8,8,No answer,9,6,6,6,6
135905,DK,6,5,7,8,4,4,4,5
135914,DK,7,8,9,8,6,6,7,7
135935,DK,8,8,9,9,6,7,8,8
135974,DK,1,7,5,9,3,2,No trust at all,1
136011,DK,6,7,8,8,6,6,7,8
136043,DK,8,5,8,8,4,4,4,7
136078,DK,7,8,9,9,7,7,7,9
136135,DK,8,7,8,8,8,7,8,9
136172,DK,9,9,9,Complete trust,8,8,8,8
136186,DK,Most people can be trusted,5,Complete trust,Complete trust,3,3,Don't know,5
136193,DK,Most people can be trusted,3,6,8,5,5,5,5
136301,DK,Most people can be trusted,8,Complete trust,7,8,8,6,5
136400,DK,8,9,Complete trust,Complete trust,8,8,8,Complete trust
136429,DK,5,6,7,7,7,7,7,7
136438,DK,7,6,7,9,5,6,4,7
136447,DK,9,6,6,7,4,6,5,6
136455,DK,6,5,5,8,4,4,4,5
136496,DK,5,No trust at all,5,Complete trust,No trust at all,No trust at all,6,No trust at all
136537,DK,7,Complete trust,9,Complete trust,7,6,8,8
136559,DK,7,7,8,8,6,6,6,7
136562,DK,5,2,5,8,3,3,1,7
136662,DK,8,9,Complete trust,8,7,7,8,6
136690,DK,8,6,8,7,6,5,2,5
136700,DK,Most people can be trusted,8,9,9,8,4,4,8
136756,DK,8,8,Complete trust,Complete trust,7,9,3,5
136806,DK,8,7,Complete trust,9,6,6,5,8
136837,DK,Most people can be trusted,7,9,9,6,6,6,8
136941,DK,8,8,9,8,6,6,6,7
136942,DK,7,7,8,9,6,6,7,7
137015,DK,8,5,6,9,5,7,5,5
