idno,cntry,ppltrst,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,prtvtddk,gndr,agea,edlvddk,infqbst,grspnum,region
115468,DK,5,5,9,9,5,5,1,6,,Male,39,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,28000,Syddanmark
115488,DK,8,9,9,9,7,7,9,9,Socialdemokratiet - The Social democrats,Male,78,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Midtjylland
115496,DK,3,5,5,6,5,4,4,5,Dansk Folkeparti - Danish People's Party,Female,67,Folkeskole 6.-8. klasse,Monthly,,Sjælland
115503,DK,8,8,9,9,5,3,7,10,Socialdemokratiet - The Social democrats,Female,68,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
115579,DK,9,9,9,10,7,7,8,9,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,29,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,35000,Sjælland
115649,DK,5,7,8,9,8,8,5,9,Dansk Folkeparti - Danish People's Party,Female,73,Folkeskole 6.-8. klasse,Monthly,,Midtjylland
115758,DK,8,6,9,9,6,6,5,6,Socialdemokratiet - The Social democrats,Male,44,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,40000,Sjælland
115762,DK,7,5,7,7,5,5,5,6,Socialdemokratiet - The Social democrats,Male,36,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,30000,Hovedstaden
115799,DK,7,5,8,9,5,5,,8,Alternativet - The Alternative,Male,50,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,32500,Syddanmark
115834,DK,8,4,8,4,5,5,3,6,Liberal Alliance - Liberal Alliance,Male,26,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,,Midtjylland
115848,DK,10,10,10,10,10,10,,,Other,Female,31,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,,Midtjylland
115857,DK,7,7,9,9,5,5,5,5,Socialdemokratiet - The Social democrats,Male,65,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Midtjylland
115909,DK,8,6,6,7,6,6,6,8,Dansk Folkeparti - Danish People's Party,Male,73,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
