,idno,gndr,agea,region,prtvtddk,edlvddk,infqbst,grspnum
1465,144812,Male,67,DK04,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,59000.0
1466,144830,Female,68,DK03,Refusal,Folkeskole 6.-8. klasse,Monthly,
1467,144896,Male,23,DK01,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
1468,144911,Female,79,DK03,SF Socialistisk Folkeparti - Socialist People's Party,Folkeskole 9.-10. klasse,Monthly,
1469,145037,Male,55,DK01,Det Konservative Folkeparti - Conservative People's Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,34000.0
1470,145054,Male,22,DK03,Refusal,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,
1471,145076,Male,65,DK02,"Venstre, Danmarks Liberale Parti - The Liberal Party",Folkeskole 9.-10. klasse,Annual,
1472,145089,Female,29,DK04,Det Radikale Venstre - The Radical Liberal Party,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,31000.0
1473,145117,Female,52,DK04,Enhedslisten - Unity List - The Red-Green Alliance,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,31000.0
1474,145163,Male,49,DK03,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,62000.0
1475,145216,Female,31,DK04,Not applicable,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,
1476,145218,Male,81,DK01,Dansk Folkeparti - Danish People's Party,Folkeskole 6.-8. klasse,Monthly,
1477,145272,Female,50,DK05,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,26000.0
1478,145296,Female,85,DK02,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
1479,145317,Female,31,DK03,Not applicable,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,
1480,145351,Male,90,DK04,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
1481,145374,Female,44,DK02,Refusal,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,
1482,145391,Female,44,DK04,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Annual,400000.0
1483,145410,Female,29,DK04,Not applicable,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,41000.0
1484,145567,Female,84,DK04,Refusal,Folkeskole 6.-8. klasse,Monthly,
